county,states,statefips,pci,household_income,family_income,population,num_of_households
Kiowa,Oklahoma,40,23576,36281,46015,9389,3886
Richardson,Nebraska,31,23566,38582,49080,8289,3779
Silver Bow,Montana,30,23562,38659,53713,34322,15042
Grand,Utah,49,23558,45888,62627,9269,3633
Cowlitz,Washington,53,23557,47596,56810,102110,39602
Marinette,Wisconsin,55,23555,40490,53495,41632,18573
Hitchcock,Nebraska,31,23554,39702,56875,2884,1366
Montgomery,Virginia,51,23548,45543,66800,94910,34789
Montezuma,Colorado,8,23548,43188,49245,25512,10688
Nelson,Kentucky,21,23545,43833,54708,43905,16571
Mason,Washington,53,23542,48755,57662,60647,23358
Humboldt,California,6,23540,41426,52974,134613,53296
Pender,North Carolina,37,23526,44524,53740,53412,20254
Greene,Missouri,29,23520,40337,53359,278231,115574
Cimarron,Oklahoma,40,23514,38301,49600,2432,1067
Lauderdale,Alabama,1,23510,42844,55673,92666,38458
St. Joseph,Indiana,18,23509,44582,56861,266694,101947
Golden Valley,Montana,30,23508,39313,50938,709,323
Lee,Alabama,1,23506,43542,61629,144405,55864
Aurora,South Dakota,46,23504,46667,56389,2722,1102
Grady,Oklahoma,40,23500,49637,57046,52855,19762
Shawano,Wisconsin,55,23500,46559,54485,41776,17245
Page,Iowa,19,23496,43010,57784,15838,6415
Washington County,Ohio,39,23496,42834,55505,61600,25029
Pierce,North Dakota,38,23491,42975,63243,4399,1983
Marquette,Wisconsin,55,23490,46077,55060,15308,6453
Giles,Virginia,51,23485,45141,54697,17111,7167
Lafayette,Wisconsin,55,23483,49107,59593,16841,6605
Goshen,Wyoming,56,23475,43257,51882,13458,5255
Northampton,Virginia,51,23473,33635,52742,12339,5149
Clarke,Iowa,19,23472,43216,59972,9311,3672
Rockdale,Georgia,13,23461,52579,58441,85650,29317
Cheatham,Tennessee,47,23459,52446,61433,39213,14421
Monroe,Wisconsin,55,23456,49774,61851,44953,17543
Cottonwood,Minnesota,27,23456,45294,55081,11658,4802
Escambia,Florida,12,23441,43918,55382,300795,111689
Perry,Missouri,29,23435,47876,58656,19001,7511
Lampasas,Texas,48,23423,49277,58034,19937,7289
Winona,Minnesota,27,23421,47468,67948,51328,18957
Jackson,Texas,48,23418,49528,62062,14201,5212
Herkimer,New York,36,23418,45047,55976,64428,26815
Montgomery,New York,36,23417,44156,55028,50019,19703
Cheboygan,Michigan,26,23412,38410,46010,25985,11477
Duchesne,Utah,49,23411,57683,63048,19109,6850
Rush,Indiana,18,23396,47401,56923,17257,6874
Fayette,Iowa,19,23391,45542,60296,20822,8328
Matagorda,Texas,48,23389,43096,51190,36639,13260
Hutchinson,Texas,48,23383,44731,51838,21986,8374
Ochiltree,Texas,48,23382,49964,60121,10467,3736
Coconino,Arizona,4,23382,49555,59308,134795,46198
Reno,Kansas,20,23382,43798,54770,64319,25693
Calhoun,Texas,48,23381,47027,56167,21503,7870
Hall,Nebraska,31,23380,48712,56897,59431,22168
Coffee,Alabama,1,23380,43768,58898,50468,18820
Jones,South Dakota,46,23377,44808,53854,981,438
Preble,Ohio,39,23374,48405,57530,42050,16238
San Patricio,Texas,48,23373,50657,56069,65210,22147
Edgar,Illinois,17,23368,42133,51601,18339,7893
Champaign,Ohio,39,23358,49157,58486,39855,15014
Stephenson,Illinois,17,23350,43472,54367,47315,19408
Henry,Ohio,39,23347,49439,61426,28164,11006
Mason,Kentucky,21,23347,41137,48486,17452,6569
Juneau,Wisconsin,55,23343,45297,54255,26673,10194
Bastrop,Texas,48,23342,51750,61250,74730,25432
Barron,Wisconsin,55,23337,44054,54827,45826,19168
Ringgold,Iowa,19,23324,44551,53353,5107,2074
Iron,Wisconsin,55,23324,39051,49059,5937,2953
Red Willow,Nebraska,31,23320,42345,58831,11015,4732
Houston,Alabama,1,23316,40948,52214,102326,39250
Harrison,West Virginia,54,23309,43183,54364,69078,27599
Moore,Tennessee,47,23307,46170,59462,6347,2416
Mendocino,California,6,23306,43469,54459,87497,33878
Ralls,Missouri,29,23299,47969,54936,10206,4044
Roanoke City,Virginia,51,23295,38145,48879,97355,42494
St. Lucie,Florida,12,23285,43413,50334,281015,106060
Madison,Tennessee,47,23283,41617,54519,98261,35713
Tripp,South Dakota,46,23270,39324,48547,5571,2530
Woodbury,Iowa,19,23269,45856,57202,102155,38654
Gosper,Nebraska,31,23266,45893,58583,2005,767
Washington County,Arkansas,5,23264,41248,54190,207911,79214
Custer,Oklahoma,40,23261,44972,56889,28092,10562
Hancock,West Virginia,54,23261,38522,49200,30517,12890
Red Lake,Minnesota,27,23257,47569,59600,4087,1681
